method_family,asset,frequency,regime_method,regime_label,count,mean,median
quantile,BTCUSDT,1d,quantile_4_rolling_30,low_vol,19,28.842105263157894,6.0
quantile,BTCUSDT,1d,quantile_4_rolling_30,medium_vol,38,14.421052631578947,6.0
quantile,BTCUSDT,1d,quantile_4_rolling_60,extreme_vol,14,39.142857142857146,13.5
quantile,BTCUSDT,1d,quantile_4_rolling_60,high_vol,34,16.11764705882353,7.5
quantile,BTCUSDT,1d,quantile_4_rolling_60,low_vol,19,28.842105263157894,6.0
quantile,BTCUSDT,1d,quantile_4_rolling_60,medium_vol,38,14.421052631578947,6.0
quantile,BTCUSDT,1h,quantile_2_rolling_240,high_vol,316,83.19303797468355,45.5
quantile,BTCUSDT,1h,quantile_2_rolling_240,low_vol,317,82.92744479495268,27.0
quantile,BTCUSDT,1h,quantile_2_rolling_30,high_vol,316,83.19303797468355,45.5
quantile,BTCUSDT,1h,quantile_2_rolling_30,low_vol,317,82.92744479495268,27.0
quantile,BTCUSDT,1h,quantile_2_rolling_60,high_vol,316,83.19303797468355,45.5
quantile,BTCUSDT,1h,quantile_2_rolling_60,low_vol,317,82.92744479495268,27.0
quantile,BTCUSDT,1h,quantile_3_rolling_240,high_vol,294,59.61224489795919,23.5
quantile,BTCUSDT,1h,quantile_3_rolling_240,low_vol,316,55.462025316455694,18.0
quantile,BTCUSDT,1h,quantile_3_rolling_240,medium_vol,598,29.306020066889634,16.0
quantile,BTCUSDT,1h,quantile_3_rolling_30,high_vol,294,59.61224489795919,23.5
quantile,BTCUSDT,1h,quantile_3_rolling_30,low_vol,316,55.462025316455694,18.0
quantile,BTCUSDT,1h,quantile_3_rolling_30,medium_vol,598,29.306020066889634,16.0
quantile,BTCUSDT,1h,quantile_3_rolling_60,high_vol,294,59.61224489795919,23.5
quantile,BTCUSDT,1h,quantile_3_rolling_60,low_vol,316,55.462025316455694,18.0
quantile,BTCUSDT,1h,quantile_3_rolling_60,medium_vol,598,29.306020066889634,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_240,extreme_vol,220,59.75,28.0
quantile,BTCUSDT,1h,quantile_4_rolling_240,high_vol,521,25.228406909788866,15.0
quantile,BTCUSDT,1h,quantile_4_rolling_240,low_vol,294,44.70748299319728,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_240,medium_vol,598,21.97993311036789,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_30,extreme_vol,220,59.75,28.0
quantile,BTCUSDT,1h,quantile_4_rolling_30,high_vol,521,25.228406909788866,15.0
quantile,BTCUSDT,1h,quantile_4_rolling_30,low_vol,294,44.70748299319728,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_30,medium_vol,598,21.97993311036789,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_60,extreme_vol,220,59.75,28.0
quantile,BTCUSDT,1h,quantile_4_rolling_60,high_vol,521,25.228406909788866,15.0
quantile,BTCUSDT,1h,quantile_4_rolling_60,low_vol,294,44.70748299319728,16.0
quantile,BTCUSDT,1h,quantile_4_rolling_60,medium_vol,598,21.97993311036789,16.0
quantile,BTCUSDT,1m,quantile_2_rolling_240,high_vol,13329,118.31930377372646,24.0
quantile,BTCUSDT,1m,quantile_2_rolling_240,low_vol,13330,118.31035258814704,13.0
quantile,BTCUSDT,1m,quantile_2_rolling_30,high_vol,13329,118.31930377372646,24.0
quantile,BTCUSDT,1m,quantile_2_rolling_30,low_vol,13330,118.31035258814704,13.0
quantile,BTCUSDT,1m,quantile_2_rolling_60,high_vol,13329,118.31930377372646,24.0
quantile,BTCUSDT,1m,quantile_2_rolling_60,low_vol,13330,118.31035258814704,13.0
quantile,BTCUSDT,1m,quantile_3_rolling_240,high_vol,11915,88.2404532102392,24.0
quantile,BTCUSDT,1m,quantile_3_rolling_240,low_vol,12230,85.96770237121831,11.0
quantile,BTCUSDT,1m,quantile_3_rolling_240,medium_vol,24027,43.758480043284635,16.0
quantile,BTCUSDT,1m,quantile_3_rolling_30,high_vol,11915,88.2404532102392,24.0
quantile,BTCUSDT,1m,quantile_3_rolling_30,low_vol,12230,85.96770237121831,11.0
quantile,BTCUSDT,1m,quantile_3_rolling_30,medium_vol,24027,43.758480043284635,16.0
quantile,BTCUSDT,1m,quantile_3_rolling_60,high_vol,11915,88.2404532102392,24.0
quantile,BTCUSDT,1m,quantile_3_rolling_60,low_vol,12230,85.96770237121831,11.0
quantile,BTCUSDT,1m,quantile_3_rolling_60,medium_vol,24027,43.758480043284635,16.0
quantile,BTCUSDT,1m,quantile_4_rolling_240,extreme_vol,10143,77.74218672976437,27.0
quantile,BTCUSDT,1m,quantile_4_rolling_240,high_vol,23270,33.88650623119897,15.0
quantile,BTCUSDT,1m,quantile_4_rolling_240,low_vol,10563,74.65104610432643,10.0
quantile,BTCUSDT,1m,quantile_4_rolling_240,medium_vol,23757,33.19181714862988,13.0
quantile,BTCUSDT,1m,quantile_4_rolling_30,extreme_vol,10143,77.74218672976437,27.0
quantile,BTCUSDT,1m,quantile_4_rolling_30,high_vol,23270,33.88650623119897,15.0
quantile,BTCUSDT,1m,quantile_4_rolling_30,low_vol,10563,74.65104610432643,10.0
quantile,BTCUSDT,1m,quantile_4_rolling_30,medium_vol,23757,33.19181714862988,13.0
quantile,BTCUSDT,1m,quantile_4_rolling_60,extreme_vol,10143,77.74218672976437,27.0
quantile,BTCUSDT,1m,quantile_4_rolling_60,high_vol,23270,33.88650623119897,15.0
quantile,BTCUSDT,1m,quantile_4_rolling_60,low_vol,10563,74.65104610432643,10.0
quantile,BTCUSDT,1m,quantile_4_rolling_60,medium_vol,23757,33.19181714862988,13.0
quantile,BTCUSDT,5m,quantile_2_rolling_240,high_vol,3092,102.01067270375162,50.0
