asset,frequency,method,mode,regime_method,regime_label,window_length,feature_set,number_of_motifs,mean_motif_distance_or_score,median_motif_distance,recurrence_count,runtime_seconds,time_split_stability,cross_regime_overlap,notes
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,64,close,257,4.097302578987714,3.9730144078028657,514,2.5388513430953026,0.3316062176165803,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,64,log_return,257,8.136426776452568,8.236087522130765,514,2.52203916804865,0.3385416666666667,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,64,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",250,7.282928679361349,7.324794750046689,500,133.34074750216678,0.33689839572192515,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,64,rolling_volatility_60,255,2.511159731265096,2.0870436821934892,510,2.6284698946401477,0.3709677419354839,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,128,close,146,6.574835963471881,6.393812985011537,292,1.5871376618742943,0.3904761904761905,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,128,log_return,148,12.912932354524866,13.004253926894386,296,1.5457369987852871,0.39622641509433965,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,128,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",141,11.27902190576427,11.292180269156079,282,86.31371290283278,0.41,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,128,rolling_volatility_60,140,4.693437262886387,4.331050468752272,280,1.5900730788707733,0.38613861386138615,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,256,close,65,11.175297500737557,11.020454555409648,130,0.6811902206391096,0.41304347826086957,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,256,log_return,63,19.67294839300475,19.7178419952441,126,0.6447317437268794,0.4318181818181818,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
