asset,frequency,regime_method_hmm,regime_method_quantile,regime_label_hmm,regime_label_quantile,count
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,high_vol,low_vol,80
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,high_vol,medium_vol,111
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,low_vol,high_vol,159
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,low_vol,low_vol,373
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,low_vol,medium_vol,313
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,medium_vol,high_vol,338
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,medium_vol,low_vol,278
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,medium_vol,medium_vol,306
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,high_vol,high_vol,233
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,high_vol,low_vol,80
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,high_vol,medium_vol,111
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,low_vol,high_vol,159
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,low_vol,low_vol,373
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,low_vol,medium_vol,313
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,medium_vol,high_vol,338
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,medium_vol,low_vol,278
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,medium_vol,medium_vol,306
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,extreme_vol,extreme_vol,1
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,high_vol,extreme_vol,193
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,high_vol,high_vol,97
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,high_vol,low_vol,49
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,high_vol,medium_vol,85
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,low_vol,extreme_vol,104
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,low_vol,high_vol,208
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,low_vol,low_vol,289
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,low_vol,medium_vol,244
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,medium_vol,extreme_vol,250
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,medium_vol,high_vol,243
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,medium_vol,low_vol,210
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,medium_vol,medium_vol,219
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,extreme_vol,extreme_vol,1
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,high_vol,extreme_vol,193
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,high_vol,high_vol,97
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,high_vol,low_vol,49
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,high_vol,medium_vol,85
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,low_vol,extreme_vol,104
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,low_vol,high_vol,208
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,low_vol,low_vol,289
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,low_vol,medium_vol,244
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,medium_vol,extreme_vol,250
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,medium_vol,high_vol,243
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,medium_vol,low_vol,210
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,medium_vol,medium_vol,219
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,extreme_vol,extreme_vol,1
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,high_vol,extreme_vol,193
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,high_vol,high_vol,97
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,high_vol,low_vol,49
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,high_vol,medium_vol,85
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,low_vol,extreme_vol,104
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,low_vol,high_vol,208
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,low_vol,low_vol,289
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,low_vol,medium_vol,244
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,medium_vol,extreme_vol,250
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,medium_vol,high_vol,243
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,medium_vol,low_vol,210
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,medium_vol,medium_vol,219
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,extreme_vol,high_vol,518
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,extreme_vol,low_vol,29
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,high_vol,high_vol,7324
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,high_vol,low_vol,1936
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,low_vol,high_vol,6437
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,low_vol,low_vol,14870
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,medium_vol,high_vol,12010
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,medium_vol,low_vol,9453
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,extreme_vol,high_vol,518
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,extreme_vol,low_vol,29
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,high_vol,high_vol,7324
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,high_vol,low_vol,1936
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,low_vol,high_vol,6437
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,low_vol,low_vol,14870
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,medium_vol,high_vol,12010
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,medium_vol,low_vol,9453
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,extreme_vol,high_vol,518
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,extreme_vol,low_vol,29
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,high_vol,high_vol,7324
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,high_vol,low_vol,1936
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,low_vol,high_vol,6437
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,low_vol,low_vol,14870
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,medium_vol,high_vol,12010
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,medium_vol,low_vol,9453
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,extreme_vol,high_vol,476
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,extreme_vol,low_vol,12
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,extreme_vol,medium_vol,59
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,high_vol,high_vol,5883
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,high_vol,low_vol,986
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,high_vol,medium_vol,2391
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,low_vol,high_vol,3325
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,low_vol,low_vol,10788
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,low_vol,medium_vol,7194
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,medium_vol,high_vol,7842
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,medium_vol,low_vol,5740
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,medium_vol,medium_vol,7881
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,extreme_vol,high_vol,476
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,extreme_vol,low_vol,12
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,extreme_vol,medium_vol,59
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,high_vol,high_vol,5883
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,high_vol,low_vol,986
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,high_vol,medium_vol,2391
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,low_vol,high_vol,3325
