asset,frequency,hmm_method,quantile_method,observations,adjusted_rand_index,normalized_mutual_information,sklearn_available
ETHUSDT,1m,hmm_4_states,quantile_3_rolling_30,3154154,0.136508763751965,0.16222559912360712,True
ETHUSDT,1m,hmm_4_states,quantile_3_rolling_60,3154154,0.136508763751965,0.16222559912360712,True
ETHUSDT,1m,hmm_4_states,quantile_4_rolling_240,3154154,0.11873033411618508,0.159681393951438,True
ETHUSDT,1m,hmm_4_states,quantile_4_rolling_30,3154154,0.11873033411618508,0.159681393951438,True
ETHUSDT,1m,hmm_4_states,quantile_4_rolling_60,3154154,0.11873033411618508,0.159681393951438,True
ETHUSDT,5m,hmm_4_states,quantile_2_rolling_240,630834,0.09486155096370681,0.10500048712753968,True
ETHUSDT,5m,hmm_4_states,quantile_2_rolling_30,630834,0.09486155096370681,0.10500048712753968,True
ETHUSDT,5m,hmm_4_states,quantile_2_rolling_60,630834,0.09486155096370681,0.10500048712753968,True
ETHUSDT,5m,hmm_4_states,quantile_3_rolling_240,630834,0.09692572539119639,0.11556454588519574,True
ETHUSDT,5m,hmm_4_states,quantile_3_rolling_30,630834,0.09692572539119639,0.11556454588519574,True
ETHUSDT,5m,hmm_4_states,quantile_3_rolling_60,630834,0.09692572539119639,0.11556454588519574,True
ETHUSDT,5m,hmm_4_states,quantile_4_rolling_240,630834,0.08812869311302499,0.11581285054609942,True
ETHUSDT,5m,hmm_4_states,quantile_4_rolling_30,630834,0.08812869311302499,0.11581285054609942,True
ETHUSDT,5m,hmm_4_states,quantile_4_rolling_60,630834,0.08812869311302499,0.11581285054609942,True
EURUSD,1d,hmm_4_states,quantile_2_rolling_240,2863,0.026740581630165943,0.04392123371015876,True
EURUSD,1d,hmm_4_states,quantile_2_rolling_30,2863,0.026740581630165943,0.04392123371015876,True
EURUSD,1d,hmm_4_states,quantile_2_rolling_60,2863,0.026740581630165943,0.04392123371015876,True
EURUSD,1d,hmm_4_states,quantile_3_rolling_240,2863,0.032103620495542586,0.051129077739217516,True
EURUSD,1d,hmm_4_states,quantile_3_rolling_30,2863,0.032103620495542586,0.051129077739217516,True
EURUSD,1d,hmm_4_states,quantile_3_rolling_60,2863,0.032103620495542586,0.051129077739217516,True
EURUSD,1d,hmm_4_states,quantile_4_rolling_240,2863,0.031830333169571956,0.05146402370463371,True
EURUSD,1d,hmm_4_states,quantile_4_rolling_30,2863,0.031830333169571956,0.05146402370463371,True
EURUSD,1d,hmm_4_states,quantile_4_rolling_60,2863,0.031830333169571956,0.05146402370463371,True
GBPUSD,1d,hmm_4_states,quantile_2_rolling_240,2863,0.03811921274835179,0.05333040461097872,True
GBPUSD,1d,hmm_4_states,quantile_2_rolling_30,2863,0.03811921274835179,0.05333040461097872,True
GBPUSD,1d,hmm_4_states,quantile_2_rolling_60,2863,0.03811921274835179,0.05333040461097872,True
GBPUSD,1d,hmm_4_states,quantile_3_rolling_240,2863,0.04603087657844976,0.06585978543250393,True
GBPUSD,1d,hmm_4_states,quantile_3_rolling_30,2863,0.04603087657844976,0.06585978543250393,True
GBPUSD,1d,hmm_4_states,quantile_3_rolling_60,2863,0.04603087657844976,0.06585978543250393,True
