asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
BTCUSDT,1h,conditioned,quantile_4_rolling_240,168,univariate,0.31520460825413465
BTCUSDT,1h,conditioned,quantile_4_rolling_240,336,multivariate,1.1431814967654645
BTCUSDT,1h,conditioned,quantile_4_rolling_240,336,univariate,0.07573172356933355
BTCUSDT,1h,conditioned,quantile_4_rolling_30,24,multivariate,17.817169213667512
BTCUSDT,1h,conditioned,quantile_4_rolling_30,24,univariate,1.2746115354821086
BTCUSDT,1h,conditioned,quantile_4_rolling_30,48,multivariate,15.72350514959544
BTCUSDT,1h,conditioned,quantile_4_rolling_30,48,univariate,1.1431595864705741
BTCUSDT,1h,conditioned,quantile_4_rolling_30,72,multivariate,11.588306104764342
BTCUSDT,1h,conditioned,quantile_4_rolling_30,72,univariate,0.7862005191855133
BTCUSDT,1h,conditioned,quantile_4_rolling_30,168,multivariate,3.5650666593573987
BTCUSDT,1h,conditioned,quantile_4_rolling_30,168,univariate,0.3147506951354444
BTCUSDT,1h,conditioned,quantile_4_rolling_30,336,multivariate,1.1354384520091116
BTCUSDT,1h,conditioned,quantile_4_rolling_30,336,univariate,0.07534416113048792
BTCUSDT,1h,conditioned,quantile_4_rolling_60,24,multivariate,17.86380382720381
BTCUSDT,1h,conditioned,quantile_4_rolling_60,24,univariate,1.2757610622793436
BTCUSDT,1h,conditioned,quantile_4_rolling_60,48,multivariate,15.729275049176067
BTCUSDT,1h,conditioned,quantile_4_rolling_60,48,univariate,1.1130924900062382
BTCUSDT,1h,conditioned,quantile_4_rolling_60,72,multivariate,11.590013107284904
BTCUSDT,1h,conditioned,quantile_4_rolling_60,72,univariate,0.7859473447315395
BTCUSDT,1h,conditioned,quantile_4_rolling_60,168,multivariate,3.574971884023398
BTCUSDT,1h,conditioned,quantile_4_rolling_60,168,univariate,0.31387576507404447
BTCUSDT,1h,conditioned,quantile_4_rolling_60,336,multivariate,1.1398425460793078
BTCUSDT,1h,conditioned,quantile_4_rolling_60,336,univariate,0.07521305326372385
ETHUSDT,15m,agnostic,none,32,multivariate,81329.21324434225
ETHUSDT,15m,agnostic,none,32,univariate,202.77917434927076
ETHUSDT,15m,agnostic,none,64,multivariate,80864.40192668699
ETHUSDT,15m,agnostic,none,64,univariate,219.8815209697932
ETHUSDT,15m,agnostic,none,128,multivariate,79557.75703590363
ETHUSDT,15m,agnostic,none,128,univariate,207.56386934779584
ETHUSDT,15m,agnostic,none,256,multivariate,77751.28512078896
ETHUSDT,15m,agnostic,none,256,univariate,213.0511367879808
ETHUSDT,15m,conditioned,hmm_4_states,32,multivariate,2.7501787059009075
ETHUSDT,15m,conditioned,hmm_4_states,32,univariate,0.2279679011553526
ETHUSDT,15m,conditioned,hmm_4_states,64,multivariate,1.282579037360847
ETHUSDT,15m,conditioned,hmm_4_states,64,univariate,0.14773473888635635
ETHUSDT,15m,conditioned,hmm_4_states,128,multivariate,0.6696711620315909
ETHUSDT,15m,conditioned,hmm_4_states,128,univariate,0.06134600378572941
ETHUSDT,15m,conditioned,hmm_4_states,256,multivariate,0.16580121126025915
ETHUSDT,15m,conditioned,hmm_4_states,256,univariate,0.017933678813278675
ETHUSDT,15m,conditioned,quantile_2_rolling_240,32,multivariate,414.16190829034895
ETHUSDT,15m,conditioned,quantile_2_rolling_240,32,univariate,21.776763618923724
ETHUSDT,15m,conditioned,quantile_2_rolling_240,64,multivariate,354.27078511565924
ETHUSDT,15m,conditioned,quantile_2_rolling_240,64,univariate,17.4877924984321
ETHUSDT,15m,conditioned,quantile_2_rolling_240,128,multivariate,253.92974572535604
ETHUSDT,15m,conditioned,quantile_2_rolling_240,128,univariate,11.675304911099374
ETHUSDT,15m,conditioned,quantile_2_rolling_240,256,multivariate,137.01900138985366
ETHUSDT,15m,conditioned,quantile_2_rolling_240,256,univariate,6.130706851370633
ETHUSDT,15m,conditioned,quantile_2_rolling_30,32,multivariate,416.08475518692285
ETHUSDT,15m,conditioned,quantile_2_rolling_30,32,univariate,21.897601815871894
ETHUSDT,15m,conditioned,quantile_2_rolling_30,64,multivariate,353.8275322895497
ETHUSDT,15m,conditioned,quantile_2_rolling_30,64,univariate,17.59457001183182
ETHUSDT,15m,conditioned,quantile_2_rolling_30,128,multivariate,254.94360157754272
ETHUSDT,15m,conditioned,quantile_2_rolling_30,128,univariate,11.684927229769528
ETHUSDT,15m,conditioned,quantile_2_rolling_30,256,multivariate,136.76099228672683
ETHUSDT,15m,conditioned,quantile_2_rolling_30,256,univariate,6.140675138682127
ETHUSDT,15m,conditioned,quantile_2_rolling_60,32,multivariate,414.5685912845656
ETHUSDT,15m,conditioned,quantile_2_rolling_60,32,univariate,21.84827947895974
ETHUSDT,15m,conditioned,quantile_2_rolling_60,64,multivariate,354.4779981561005
ETHUSDT,15m,conditioned,quantile_2_rolling_60,64,univariate,17.584149891510606
ETHUSDT,15m,conditioned,quantile_2_rolling_60,128,multivariate,254.02812563162297
ETHUSDT,15m,conditioned,quantile_2_rolling_60,128,univariate,11.719539482146502
ETHUSDT,15m,conditioned,quantile_2_rolling_60,256,multivariate,137.1550425486639
ETHUSDT,15m,conditioned,quantile_2_rolling_60,256,univariate,6.166028179228306
ETHUSDT,15m,conditioned,quantile_3_rolling_240,32,multivariate,184.21102689951658
ETHUSDT,15m,conditioned,quantile_3_rolling_240,32,univariate,9.535038664005697
ETHUSDT,15m,conditioned,quantile_3_rolling_240,64,multivariate,155.6193547397852
ETHUSDT,15m,conditioned,quantile_3_rolling_240,64,univariate,7.525585923343897
ETHUSDT,15m,conditioned,quantile_3_rolling_240,128,multivariate,113.91440681740642
ETHUSDT,15m,conditioned,quantile_3_rolling_240,128,univariate,5.215465877205133
ETHUSDT,15m,conditioned,quantile_3_rolling_240,256,multivariate,57.67250508069992
ETHUSDT,15m,conditioned,quantile_3_rolling_240,256,univariate,2.6955376835539937
ETHUSDT,15m,conditioned,quantile_3_rolling_30,32,multivariate,181.8839593604207
